epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.1397,2.20762,2.65624,2.23155,0.31225,0.40392,0.24244,0.07984,2.39552,6.33421,2.84403,0.000366703,0.000366703,0.000366703
2,38.2588,2.15343,2.17786,2.19253,0.3434,0.1679,0.14039,0.04392,2.52253,4.70405,2.74821,0.000729739,0.000729739,0.000729739
3,57.1988,2.1454,2.22956,2.20258,0.34858,0.2417,0.12578,0.03883,2.53497,5.33689,2.83884,0.00108544,0.00108544,0.00108544
4,75.9725,2.10159,2.12601,2.18358,0.33186,0.32111,0.26552,0.08607,2.32641,2.78546,2.62192,0.001078,0.001078,0.001078
5,94.8244,2.03587,2.01152,2.12682,0.4078,0.37959,0.36529,0.1251,2.21036,2.24768,2.44885,0.001067,0.001067,0.001067
6,113.648,1.9864,1.88977,2.08681,0.44441,0.49742,0.4689,0.17535,2.22383,1.89905,2.4505,0.00105601,0.00105601,0.00105601
7,132.442,1.92403,1.74154,2.05507,0.48191,0.45887,0.4556,0.1859,2.15151,1.81913,2.40318,0.00104501,0.00104501,0.00104501
8,151.299,1.90122,1.71368,2.0153,0.41336,0.47546,0.44241,0.16004,2.16896,2.03254,2.39606,0.00103401,0.00103401,0.00103401
9,170.378,1.87693,1.66148,1.99336,0.67056,0.47494,0.51783,0.20514,2.06316,1.81725,2.28757,0.00102301,0.00102301,0.00102301
10,189.228,1.85159,1.60381,1.98058,0.54566,0.56355,0.53275,0.21657,2.02442,1.68013,2.27923,0.00101201,0.00101201,0.00101201
11,208.046,1.83127,1.58545,1.96214,0.54033,0.54592,0.55285,0.22743,1.9821,1.60267,2.22118,0.00100101,0.00100101,0.00100101
12,226.859,1.81078,1.51054,1.9408,0.56539,0.62384,0.61178,0.26051,1.93509,1.49408,2.19803,0.000990012,0.000990012,0.000990012
13,245.672,1.77882,1.50455,1.93481,0.59032,0.61001,0.6118,0.25273,1.97783,1.49878,2.22785,0.000979013,0.000979013,0.000979013
14,264.414,1.7625,1.46708,1.91026,0.63767,0.5721,0.61845,0.27263,1.94792,1.43958,2.18463,0.000968014,0.000968014,0.000968014
15,283.244,1.73004,1.4135,1.88073,0.63992,0.60858,0.65536,0.28206,1.9511,1.38031,2.16599,0.000957015,0.000957015,0.000957015
16,302.087,1.69086,1.34226,1.84928,0.62735,0.55152,0.61002,0.2725,1.92302,1.51934,2.19021,0.000946016,0.000946016,0.000946016
17,320.768,1.69142,1.34753,1.84425,0.69719,0.59405,0.67937,0.30056,1.922,1.35957,2.17962,0.000935018,0.000935018,0.000935018
18,339.852,1.64394,1.27233,1.8113,0.64923,0.66605,0.70165,0.30692,1.8986,1.3023,2.14106,0.000924019,0.000924019,0.000924019
19,358.639,1.62419,1.23289,1.79343,0.71222,0.60633,0.67547,0.31536,1.86761,1.35679,2.13835,0.00091302,0.00091302,0.00091302
20,377.469,1.62412,1.21024,1.77567,0.65921,0.68041,0.71731,0.32943,1.85789,1.31077,2.10517,0.000902021,0.000902021,0.000902021
